height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
75.0,168,1983,1,ngarsch01w,C,Missouri,
76.0,195,1982,7,ngoyibe01w,C,,
77.0,180,1980,1,nieuwma01w,C,Valparaiso,
72.0,156,1985,1,nnamach01w,G,Georgia Tech,
69.0,147,1979,9,nolande01w,G-F,Georgia,
73.0,166,1975,4,nygaava01w,F,Stanford,
66.0,140,1982,1,ogayu01w,G,,
77.0,190,1982,6,ohldeni01w,F-C,Kansas State,
73.0,158,1983,1,oneilkr01w,G-F,Washington,
77.0,190,1981,1,osipoir01w,C,,
77.0,212,1976,1,owenhe01w,F,Stanford,
74.0,175,1978,3,owenssh01w,C,Kentucky,
74.0,179,1986,1,pageda01w,F,Nebraska,
74.0,160,1975,9,pagemu01w,F,Florida,
66.0,147,1983,1,paigeyo01w,G,West Virginia,
67.0,159,1981,1,paliesa01w,G,,
74.0,165,1974,8,palmewe01w,F,Virginia,
76.0,250,1987,1,parisco01w,C,Oklahoma,
76.0,175,1986,2,parkeca01w,F,Tennessee,
76.0,187,1982,1,pascafl01w,C,,
75.0,175,1977,3,pavlimi01w,F-C,Denver,
68.0,150,1974,3,payeka01w,G,Stanford,
71.0,145,1974,10,penicti01w,G,Old Dominion,
72.0,160,1979,2,pennjo01w,F,South Carolina,
68.0,155,1982,6,perkiji01w,G,Texas Tech,
69.0,150,1971,7,pettibr01w,G,Florida,
67.0,162,1985,4,philler01w,G,,
74.0,200,1969,8,phillta01w,F-C,Central Florida,
74.0,181,1981,7,pierspl01w,F-C,Texas Tech,
69.0,160,1983,4,pondeca01w,G,Rutgers,
73.0,191,1974,1,potthan01w,F,Penn State,
68.0,150,1975,9,powelel01w,G,Louisiana State,
74.0,175,1982,6,powelni01w,F,Stanford,
69.0,133,1985,3,pricear01w,G-F,Mississippi,
74.0,180,1978,4,pridely01w,G-F,Kansas,
75.0,162,1986,2,pringla01w,F-C,North Carolina,
74.0,185,1984,3,queenbr01w,F,Boston College,
70.0,140,1986,2,quiglal01w,G,DePaul,
72.0,175,1985,3,quinnno01w,G,UCLA,
76.0,165,1974,1,quinnte01w,F,Seton Hall,
75.0,187,1978,1,radunha01w,C,,
67.0,133,1980,4,raglafe01w,G,Oregon State,
69.0,164,1979,4,randase01w,G,Tennessee,
76.0,174,1978,9,rasmukr01w,F,Michigan State,
65.0,139,1985,1,raymost01w,G,Northern Illinois,
73.0,164,1977,3,reddja01w,F,Washington,
73.0,168,1977,3,reedbr01w,F,Southern Mississippi,
71.0,150,1976,4,reidtr01w,F,North Carolina,
77.0,198,1979,9,rileyru01w,C,Notre Dame,
66.0,146,1974,4,rizzoje01w,G,Connecticut,
76.0,180,1982,6,robinas01w,C,Tennessee,
71.0,155,1974,8,robincr01w,G-F,SE Oklahoma State,
71.0,166,1978,1,robinre01w,G,Virginia,
73.0,167,1975,1,rolanja01w,G-F,Purdue,
68.0,142,1984,1,rossad01w,G,Texas Christian,
73.0,175,1984,1,rushle01w,F,Oklahoma,
72.0,184,1976,8,salesny01w,G-F,Connecticut,
71.0,175,1974,1,sampsch01w,G,Kansas,
72.0,160,1974,9,samsh01w,G-F,Vanderbilt,
70.0,152,1976,1,sanchis01w,G,,
71.0,156,1983,1,sandeam01w,G,Hawai'i,
76.0,200,1976,7,sanfona01w,F-C,Kansas,
74.0,0,1986,2,sanniol01w,C,West Virginia,
77.0,181,1973,2,santoal01w,C,,
75.0,188,1979,8,santoke01w,F,,
78.0,222,1974,1,sarenra01w,C,,
76.0,203,1977,3,sauerpa01w,C,Connecticut,
71.0,145,1979,2,saundja01w,F,Texas A&M,
70.0,163,1976,2,saureau01w,G,,
77.0,183,1977,9,schumke01w,C,Connecticut,
72.0,160,1979,3,schwege01w,G-F,Duke,
74.0,175,1976,9,scottol01w,C,Stanford,
75.0,190,1970,3,shakiel01w,F-C,,
69.0,145,1981,7,sharpkb01w,G,Cincinnati,
70.0,155,1985,2,shielas01w,G,SW Tennessee CC,
68.0,173,1973,1,slaisma01w,G,Cincinnati,
75.0,181,1980,1,slauggw01w,F,Tulane,
73.0,160,1979,1,slavtge01w,G,Florida International,
74.0,173,1980,2,smithai01w,F,Louisiana State,
75.0,195,1984,2,smithbr01w,F-C,Stanford,
70.0,145,1975,7,smithch02w,F,Stanford,
72.0,148,1973,4,smithch03w,G,North Carolina,
66.0,121,1984,3,smithcr01w,G,Iowa,
75.0,198,1982,1,smithje01w,C,Michigan,
71.0,174,1974,10,smithka01w,G-F,Ohio State,
73.0,158,1984,3,smithki01w,F,Utah,
67.0,150,1974,1,smithla01w,G,Mississippi State,
76.0,160,1977,10,smithta01w,F-C,Iowa,
72.0,0,1985,1,smithty01w,F,Delaware,
71.0,175,1985,1,smithwa01w,G,Duke,
69.0,170,1981,5,snellbe01w,G,University of Sydney,
77.0,158,1980,8,snowmi01w,C,Tennessee,
75.0,183,1985,3,spencsi01w,G,Tennessee,
