year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
8,1,6,0,0.0,0.0,0.0,971,2355,531,674,496,397,785,1182,596,713,238,561,95,988,2195,785,162,461,318,1118,565,645,279,529,147,34,121019,0.29411764705882354,0.7058823529411765,0.4117647058823529,0.5882352941176471,0.17647058823529413,0.8235294117647058,0.36363636363636365,0.6363636363636364,MIN,10
9,1,7,0,0.0,0.0,0.0,991,2303,652,864,413,353,792,1145,557,751,309,472,131,974,2220,809,161,486,350,1212,587,748,248,579,140,34,118463,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.5882352941176471,0.4,0.6,MIN,10
10,1,5,0,0.0,0.0,0.0,949,2257,591,766,695,325,762,1087,509,693,301,513,128,1041,2260,711,195,510,317,1165,589,694,250,543,140,34,128127,0.4117647058823529,0.5882352941176471,0.5294117647058824,0.47058823529411764,0.29411764705882354,0.7058823529411765,0.35,0.65,MIN,10
1,0,1,1,1.0,1.0,0.5,792,1815,429,567,396,288,652,940,477,617,246,474,102,741,1822,590,116,420,320,967,462,645,223,479,94,32,231962,0.625,0.375,0.75,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,NYL,11
2,0,2,1,1.0,0.5,0.0,833,1828,336,500,421,255,660,915,553,616,265,437,82,744,1759,640,133,394,304,983,430,600,223,496,76,32,250565,0.65625,0.34375,0.8125,0.1875,0.5,0.5,0.6190476190476191,0.38095238095238093,NYL,11
3,0,1,1,1.0,1.0,0.5,772,1740,400,567,400,260,610,870,496,638,261,458,100,691,1733,645,149,434,312,961,410,597,228,478,88,32,234717,0.5625,0.4375,0.625,0.375,0.5,0.5,0.5238095238095238,0.47619047619047616,NYL,11
4,0,6,0,0.0,0.0,0.0,825,1923,412,537,500,271,686,957,527,587,262,470,128,821,1959,581,155,467,326,1062,506,614,269,480,96,34,212346,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.29411764705882354,0.7058823529411765,0.4583333333333333,0.5416666666666666,NYL,11
5,0,2,1,1.0,0.5,0.0,819,1932,398,531,617,263,741,1004,539,587,209,506,124,867,2096,579,132,416,371,1101,517,589,288,430,123,34,168062,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.5,0.5,NYL,11
6,0,3,1,0.5,0.0,0.0,828,1860,452,552,605,242,732,974,498,613,214,462,112,859,2012,608,125,398,345,1030,473,590,275,411,86,34,172381,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.45,0.55,NYL,11
7,0,5,0,0.0,0.0,0.0,822,2069,512,650,645,285,736,1021,475,674,252,576,112,966,2153,722,171,461,341,1173,508,668,270,485,134,34,155048,0.3235294117647059,0.6764705882352942,0.4117647058823529,0.5882352941176471,0.23529411764705882,0.7647058823529411,0.35,0.65,NYL,11
8,0,4,1,0.5,0.0,0.0,870,2087,430,580,653,287,788,1075,500,618,289,612,109,920,2223,619,190,589,378,1215,509,608,321,562,115,34,147866,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.6470588235294118,0.5,0.5,NYL,11
9,0,3,1,1.0,0.5,0.0,912,2168,490,653,706,327,778,1105,551,655,290,547,117,924,2163,674,174,485,352,1175,496,625,285,559,109,34,153772,0.5588235294117647,0.4411764705882353,0.6470588235294118,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.55,0.45,NYL,11
10,0,7,0,0.0,0.0,0.0,900,2168,458,582,710,280,802,1082,526,637,276,543,121,906,2157,673,192,554,333,1202,482,590,269,548,124,34,166604,0.38235294117647056,0.6176470588235294,0.47058823529411764,0.5294117647058824,0.29411764705882354,0.7058823529411765,0.4090909090909091,0.5909090909090909,NYL,11
1,0,3,1,0.5,0.0,0.0,833,1911,397,546,424,319,606,925,473,583,255,486,130,851,1964,495,153,450,348,1017,536,637,264,500,108,32,117810,0.5,0.5,0.6875,0.3125,0.3125,0.6875,0.6190476190476191,0.38095238095238093,CON,4
2,0,5,0,0.0,0.0,0.0,768,1914,430,587,532,356,614,970,452,643,320,532,125,806,1831,605,157,438,316,975,534,600,298,546,114,32,118874,0.40625,0.59375,0.625,0.375,0.1875,0.8125,0.42857142857142855,0.5714285714285714,CON,4
3,0,5,0,0.0,0.0,0.0,808,1914,493,646,461,320,595,915,446,669,295,456,113,804,1862,668,156,422,362,1046,519,637,251,541,108,32,113837,0.5,0.5,0.625,0.375,0.375,0.625,0.6190476190476191,0.38095238095238093,CON,4
1,1,4,1,0.5,0.0,0.0,803,1800,513,661,394,275,619,894,465,630,285,429,91,773,1828,574,135,416,334,969,486,699,224,531,91,32,161075,0.625,0.375,0.6875,0.3125,0.5625,0.4375,0.5238095238095238,0.47619047619047616,PHO,12
