year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
10,1,1,1,0,,0.196,0.407,0.586,0.672,0.161,0.699,0.673,0.718,0.298,0.431,0.432,0.687,0.282,0.326,0.59,LAS,3.0,3.0,23.8718739005575,0.4280231344025276,0.790694749516233,6.252249749036087,0.1852142511164152,0.6539891086906894,0.43964519466021723,0.0
1,0,0,,,,0.472,0.104,0.586,0.085,0.457,0.507,0.163,0.0,0.045,0.214,0.095,0.333,0.533,0.348,0.348,MIA,,,8.007695789985563,0.3604541291408453,0.6743084866064332,3.114536860601482,0.0,0.4332153512414822,0.292214238576829,0.0
2,0,1,0,,,0.0,0.14,0.238,0.263,0.608,0.175,0.588,0.179,0.191,0.265,0.0,0.413,0.471,0.119,0.417,MIA,1.0,2.0,18.12680066607811,0.397655240061594,0.7550985894599963,3.678238512271706,0.07162413533531713,0.5539254879111367,0.3208676341800587,1.0
3,0,0,,,,0.145,0.303,0.257,0.294,0.468,0.118,0.216,0.15,0.062,0.333,0.196,0.167,0.483,0.244,0.415,MIA,,,8.290055162108462,0.41089010518285224,0.6986864779588617,2.8714534082397716,0.0,0.44863858776011306,0.3077534762195715,0.0
1,1,0,,,,0.298,0.643,0.076,0.358,0.269,0.389,0.0,0.371,0.185,0.291,0.284,0.52,0.606,0.437,0.293,MIN,,,6.602596318116004,0.4082022366191768,0.7077555102661647,3.203346184838656,0.0,0.4978369698443079,0.284819132633912,1.0
2,1,0,,,,0.625,0.516,0.314,0.16,0.124,0.432,0.418,0.351,0.343,0.32,0.416,0.413,0.309,0.407,0.312,MIN,,,7.851037581826901,0.3730005888572304,0.7686828861930985,3.4798104833096226,0.0,0.4826770959979412,0.37411604809039745,0.0
3,1,0,,,,0.264,0.471,0.319,0.259,0.21,0.528,0.255,0.166,0.197,0.119,0.361,0.507,0.29,0.341,0.408,MIN,,,7.847027548954026,0.3722543822620838,0.650341953782469,2.9632984567943828,0.0,0.48535306159116265,0.33680657407910164,0.0
4,1,1,0,,,0.375,0.534,0.567,0.648,0.296,0.655,0.248,0.293,0.393,0.225,0.473,0.493,0.313,0.407,0.311,MIN,1.0,2.0,10.120362176627472,0.4080300365815515,0.7369950091581582,3.5996888602811574,0.07187686629540255,0.5151473235006414,0.3601973715649947,0.0
5,1,1,0,,,0.414,0.52,0.429,0.464,0.376,0.895,0.497,0.034,0.315,0.386,0.405,0.907,0.432,0.459,0.335,MIN,0.0,2.0,14.320111342096931,0.378595353501005,0.7186081426083104,3.1741119301876104,0.04916493694079096,0.4712452832555561,0.36437371450353323,1.0
6,1,0,,,,0.32,0.498,0.324,0.481,0.382,0.559,0.418,0.136,0.433,0.381,0.503,0.52,0.375,0.541,0.277,MIN,,,11.076706151137836,0.36614755059689985,0.6954673579697529,2.9538112903504916,0.0,0.4652463674228814,0.3747998610824652,0.0
7,1,0,,,,0.513,0.389,0.467,0.345,0.032,0.533,0.327,0.508,0.59,0.701,0.801,0.74,0.185,0.393,0.257,MIN,,,11.459574320795568,0.418266113680562,0.7340949691973585,3.294383818733579,0.0,0.4588776667696059,0.3802724745526211,1.0
8,1,0,,,,0.496,0.457,0.738,0.703,0.274,0.668,0.209,0.327,0.287,0.616,0.598,0.547,0.537,0.563,0.314,MIN,,,9.920894248765503,0.37499941134609543,0.7666957425599774,3.692530400233834,0.0,0.4745563970623029,0.35670810641817374,0.0
9,1,0,,,,0.956,0.321,0.529,0.57,0.656,0.279,0.444,0.383,0.466,0.78,0.672,0.34,0.73,0.511,0.302,MIN,,,11.973762669956997,0.4179611811972031,0.7297635498574309,3.343645240959135,0.0,0.4542042787447754,0.3133157903829737,1.0
10,1,0,,,,0.719,0.814,0.395,0.406,0.613,0.459,0.425,0.436,0.281,0.743,0.679,0.353,0.591,0.511,0.35,MIN,,,11.013181468864458,0.4248694384529646,0.8088502133359022,3.554379858481105,0.0,0.4752510295498386,0.26340727668525077,0.0
1,0,1,1,1,0,0.237,0.33,0.219,0.297,0.317,0.288,0.255,0.235,0.298,0.212,0.25,0.173,0.344,0.17,0.865,NYL,4.0,3.0,13.654913239134412,0.4177109253185205,0.7480181934450241,4.515879954881814,0.18620390662915995,0.6498256313872619,0.3743454911938,1.0
2,0,1,1,0,,0.075,0.443,0.062,0.556,0.419,0.127,0.124,0.177,0.208,0.296,0.142,0.173,0.409,0.037,0.957,NYL,3.0,3.0,11.044200376820722,0.4535252150444367,0.6888754745439781,4.2622683574523075,0.1451612678798701,0.6017739423238208,0.4050327516293314,1.0
3,0,1,1,1,0,0.237,0.376,0.086,0.362,0.398,0.218,0.242,0.266,0.253,0.217,0.074,0.207,0.34,0.126,0.878,NYL,4.0,4.0,14.264299511166879,0.43447564693412255,0.7154469413634392,4.462850221051572,0.300697698654856,0.7081391635227755,0.42275655530638745,0.0
