year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
2,0,1,0,,,0.0,0.14,0.238,0.263,0.608,0.175,0.588,0.179,0.191,0.265,0.0,0.413,0.471,0.119,0.417,MIA,1.0,2.0,,0.7550985894599963,1.9245868432723219,0.5802034483085053,0.5539254879111367,1.9548187407395454
3,0,0,,,,0.145,0.303,0.257,0.294,0.468,0.118,0.216,0.15,0.062,0.333,0.196,0.167,0.483,0.244,0.415,MIA,,,0.41089010518285224,,1.6542849218538185,0.3018396663219151,0.44863858776011306,1.4632543686059236
1,1,0,,,,0.298,0.643,0.076,0.358,0.269,0.389,0.0,0.371,0.185,0.291,0.284,0.52,0.606,0.437,0.293,MIN,,,,,1.8308255668269764,0.2179717559795137,0.4978369698443079,
2,1,0,,,,0.625,0.516,0.314,0.16,0.124,0.432,0.418,0.351,0.343,0.32,0.416,0.413,0.309,0.407,0.312,MIN,,,0.3730005888572304,0.7686828861930985,1.594693500545363,0.30848848112249916,0.4826770959979412,1.9135057179114818
3,1,0,,,,0.264,0.471,0.319,0.259,0.21,0.528,0.255,0.166,0.197,0.119,0.361,0.507,0.29,0.341,0.408,MIN,,,0.3722543822620838,0.650341953782469,1.9458388457921247,0.2885534078449507,0.48535306159116265,1.259652135758748
4,1,1,0,,,0.375,0.534,0.567,0.648,0.296,0.655,0.248,0.293,0.393,0.225,0.473,0.493,0.313,0.407,0.311,MIN,1.0,2.0,0.4080300365815515,,2.3529718094312075,0.3352513501313027,0.5151473235006414,
5,1,1,0,,,0.414,0.52,0.429,0.464,0.376,0.895,0.497,0.034,0.315,0.386,0.405,0.907,0.432,0.459,0.335,MIN,0.0,2.0,0.378595353501005,0.7186081426083104,1.8231037789984856,0.4617567694891621,0.4712452832555561,1.3399729403320917
6,1,0,,,,0.32,0.498,0.324,0.481,0.382,0.559,0.418,0.136,0.433,0.381,0.503,0.52,0.375,0.541,0.277,MIN,,,0.36614755059689985,,1.8630340184651584,0.3851437820876,0.4652463674228814,
7,1,0,,,,0.513,0.389,0.467,0.345,0.032,0.533,0.327,0.508,0.59,0.701,0.801,0.74,0.185,0.393,0.257,MIN,,,0.418266113680562,0.7340949691973585,1.6829264153408563,0.3489513284887368,0.4588776667696059,2.173459505732787
8,1,0,,,,0.496,0.457,0.738,0.703,0.274,0.668,0.209,0.327,0.287,0.616,0.598,0.547,0.537,0.563,0.314,MIN,,,0.37499941134609543,0.7666957425599774,2.0985165049096457,0.3253323911022229,0.4745563970623029,2.344132580842618
